,Word,Pinyin,Level,First Translation,Other Translations,Duplicate Pinyin
1665,順利,shùnlì,5,smoothly,without a hitch,
1666,說法,shuōfǎ,5,to expound Buddhist teachings,"way of speaking, wording, formulation, one's version (of events), statement, theory, hypothesis, interpretation",
1667,說明,shuōmíng,5,to explain,"to illustrate, to indicate, to show, to prove, explanation, directions, caption, CL:個|个[ge4]",
1668,說起來,shuōqilai,5,,,
1669,思考,sīkǎo,5,to reflect on,to ponder over,
1670,思想,sīxiǎng,5,thought,"thinking, idea, ideology, CL:個|个[ge4]",
1671,似乎,sìhū,5,apparently,"to seem, to appear, as if, seemingly",
1672,寺廟,sìmiào,5,temple,"monastery, shrine",
1673,速度,sùdù,5,speed,"rate, velocity, (music) tempo, CL:個|个[ge4]",
1674,算了,suànle,5,let it be,"let it pass, forget about it",
1675,隨便,suíbiàn,5,as one wishes,"as one pleases, at random, negligent, casual, wanton",
1676,隨時,suíshí,5,at any time,"at all times, at the right time",
1677,所謂,suǒwèi,5,so-called,what is called,
1678,它,tā,5,it,,Duplicate Pinyin
1679,它們,tāmen,5,they (for inanimate objects),,Duplicate Pinyin
1680,抬,tái,5,to lift,"to raise, (of two or more persons) to carry",
1681,颱風,táifēng,5,hurricane,typhoon,
1682,態度,tàidù,5,manner,"bearing, attitude, approach, CL:個|个[ge4]",
1683,談話,tánhuà,5,talk,"conversation, CL:次[ci4]",
1684,討厭,tǎoyàn,5,to dislike,"to loathe, disagreeable, troublesome, annoying",
1685,特地,tèdì,5,specially,for a special purpose,
1686,特色,tèsè,5,characteristic,distinguishing feature or quality,
1687,特殊,tèshū,5,special,"particular, unusual, extraordinary",
1688,提,tí,5,to carry (hanging down from the hand),"to lift, to put forward, to mention, to raise (an issue), upwards character stroke, lifting brush stroke (in painting), scoop for measuring liquid",Duplicate Pinyin
1689,提到,tídào,5,to mention,"to raise (a subject), to refer to",
1690,提高,tígāo,5,to raise,"to increase, to improve",
1691,提供,tígōng,5,to offer,"to supply, to provide, to furnish",
1692,題材,tícái,5,subject matter,,
1693,題目,tímù,5,subject,"title, topic, CL:個|个[ge4]",
1694,體會,tǐhuì,5,to know from experience,"to learn through experience, to realize, understanding, experience",
1695,體力,tǐlì,5,physical strength,physical power,
1696,體貼,tǐtiē,5,considerate (of other people's needs),,
1697,體重,tǐzhòng,5,body weight,,
1698,天堂,tiāntáng,5,paradise,heaven,
1699,天天,tiāntiān,5,every day,,
1700,天下,tiānxià,5,land under heaven,"the whole world, the whole of China, realm, rule",
1701,田,tián,5,field,"farm, surname Tian, CL:片[pian4]",Duplicate Pinyin
1702,填,tián,5,to fill or stuff,(of a form etc) to fill in,Duplicate Pinyin
1703,甜點,tiándiǎn,5,dessert,,
1704,條件,tiáojiàn,5,condition,"circumstances, term, factor, requirement, prerequisite, qualification, CL:個|个[ge4]",
1705,挑戰,tiǎozhàn,5,to challenge,challenge,
1706,鐵路,tiělù,5,railroad,"railway, CL:條|条[tiao2]",
1707,聽見,tīngjiàn,5,to hear,,
1708,聽力,tīnglì,5,hearing,listening ability,
1709,聽起來,tīngqǐlái,5,to sound like,,
1710,聽眾,tīngzhòng,5,audience,listeners,
1711,挺,tǐng,5,straight,"erect, to stick out (a part of the body), to (physically) straighten up, to support, to withstand, outstanding, (coll.) quite, very, classifier for machine guns",
1712,通過,tōngguò,5,by means of,"through, via, to pass through, to get through, to adopt, to pass (a bill or inspection etc), to switch over",
1713,同情,tóngqíng,5,to sympathize with,sympathy,
1714,同時,tóngshí,5,at the same time,simultaneously,
1715,同樣,tóngyàng,5,same,"equal, equivalent",
1716,痛苦,tòngkǔ,5,pain,"suffering, painful, CL:個|个[ge4]",
1717,投,tóu,5,to cast,"to send, to throw oneself (into the river etc), to seek refuge, to place oneself into the hands of",Duplicate Pinyin
1718,投資,tóuzī,5,investment,to invest,
1719,頭痛,tóutòng,5,to have a headache,,
1720,突然,túrán,5,sudden,"abrupt, unexpected",
1721,土,tǔ,5,Tu (ethnic group),"earth, dust, clay, local, indigenous, crude opium, unsophisticated, one of the eight ancient musical instruments 八音[ba1 yin1], surname Tu",Duplicate Pinyin
1722,土地,tǔdì,5,land,"soil, territory, local god, genius loci, CL:片[pian4],塊|块[kuai4]",
1723,兔子,tùzi,5,hare,"rabbit, CL:隻|只[zhi1]",
1724,團體,tuántǐ,5,group,"organization, team, CL:個|个[ge4]",
1725,團圓,tuányuán,5,to have a reunion,,Duplicate Pinyin
1726,推,tuī,5,to push,"to cut, to refuse, to reject, to decline, to shirk (responsibility), to put off, to delay, to push forward, to nominate, to elect, massage",
1727,推薦,tuījiàn,5,to recommend,recommendation,
1728,推銷,tuīxiāo,5,to market,to sell,
1729,退步,tuìbù,5,to do less well than before,"to make a concession, setback, backward step, leeway, room to maneuver, fallback",
1730,退休,tuìxiū,5,to retire,retirement (from work),
1731,脫,tuō,5,to shed,"to take off, to escape, to get away from",Duplicate Pinyin
1732,娃娃,wáwa,5,baby,"small child, doll",
1733,外邊,wàibiān,5,outside,"outer surface, abroad, place other than one's home",
1734,外公,wàigōng,5,(coll.) mother's father,maternal grandfather,
1735,外婆,wàipó,5,(coll.) mother's mother,maternal grandmother,
1736,外文,wàiwén,5,foreign language (written),,
1737,外語,wàiyǔ,5,foreign language,CL:門|门[men2],
1738,完成,wánchéng,5,to complete,to accomplish,
1739,完全,wánquán,5,complete,"whole, totally, entirely",
1740,玩具,wánjù,5,plaything,toy,
1741,萬一,wànyī,5,just in case,"if by any chance, contingency",
1742,網路,wǎnglù,5,"network (computer, telecom)","Internet, Taiwanese term for 網絡|网络[wang3 luo4]",
1743,往往,wǎngwǎng,5,usually,"in many cases, more often than not",
1744,忘記,wàngjì,5,to forget,,Duplicate Pinyin
1745,維持,wéichí,5,to keep,"to maintain, to preserve",
1746,微笑,wéixiào,5,smile,"to smile, CL:個|个[ge4],絲|丝[si1]",
1747,為主,wéizhǔ,5,to rely mainly on,to attach most importance to,
1748,偉大,wěidà,5,huge,"great, grand, worthy of the greatest admiration, important (contribution etc)",
1749,未來,wèilái,5,future,"tomorrow, approaching, coming, pending, CL:個|个[ge4]",
1750,位置,wèizhì,5,position,"place, seat, CL:個|个[ge4]",
1751,位子,wèizi,5,place,seat,
1752,溫柔,wēnróu,5,gentle and soft,tender,
1753,文件,wénjiàn,5,document,"file, CL:份[fen4]",
1754,文學,wénxué,5,literature,CL:種|种[zhong3],
1755,文字,wénzì,5,character,"script, writing, written language, writing style, phraseology, CL:個|个[ge4]",
1756,穩定,wěndìng,5,steady,"stable, stability, to stabilize, to pacify",
1757,問好,wènhǎo,5,to say hello to,to send one's regards to,
1758,問候,wènhòu,5,to give one's respects,to send a greeting,
1759,握手,wòshǒu,5,to shake hands,,
1760,屋子,wūzi,5,house,"room, CL:間|间[jian1]",
1761,無法,wúfǎ,5,unable,incapable,
1762,無論如何,wúlùnrúhé,5,whatever the case,"in any event, no matter what, by all possible means",
1763,無窮,wúqióng,5,endless,"boundless, inexhaustible",
1764,無所謂,wúsuǒwèi,5,to be indifferent,"not to matter, cannot be said to be",
1765,誤會,wùhuì,5,to misunderstand,"to mistake, misunderstanding, CL:個|个[ge4]",
1766,物價,wùjià,5,(commodity) prices,CL:個|个[ge4],
1767,西北,xīběi,5,"Northwest China (Shaanxi, Gansu, Qinghai, Ningxia, Xinjiang)",northwest,
1768,西餐,xīcān,5,Western-style food,"CL:份[fen4],頓|顿[dun4]",
1769,西方,xīfāng,5,the West,"the Occident, Western countries",
1770,西南,xīnán,5,southwest,,
1771,吸毒,xīdú,5,to take drugs,,
1772,吸收,xīshōu,5,to absorb,"to assimilate, to ingest, to recruit",
1773,吸引,xīyǐn,5,"to attract (interest, investment etc)",CL:個|个[ge4],
1774,犧牲,xīshēng,5,to sacrifice one's life,"to sacrifice (sth valued), beast slaughtered as a sacrifice",
1775,喜愛,xǐài,5,to like,"to love, to be fond of, favorite",
1776,細,xì,5,thin or slender,"finely particulate, thin and soft, fine, delicate, trifling, (of a sound) quiet, frugal",Duplicate Pinyin
1777,細心,xìxīn,5,careful,attentive,
1778,戲,xì,5,trick,"drama, play, show, CL:出[chu1],場|场[chang3],臺|台[tai2]",Duplicate Pinyin
1779,戲劇,xìjù,5,drama,"play, theater",
1780,系統,xìtǒng,5,system,CL:個|个[ge4],
1781,下來,xiàlai,5,to come down,"(after verb of motion, indicates motion down and towards us, also fig.), (indicates continuation from the past towards us), to be harvested (of crops), to be over (of a period of time), to go among the masses (said of leaders)",
1782,嚇,xià,5,to scare,"to intimidate, to threaten, (interjection showing disapproval) tut-tut, (interjection showing astonishment), to frighten, to scare",
1783,嚇一跳,xiàyítiào,5,startled,"to frighten, scared out of one's skin",
1784,線,xiàn,5,thread,"string, wire, line, CL:條|条[tiao2],股[gu3],根[gen1]",
1785,現代,xiàndài,5,"Hyundai, South Korean company","modern times, modern age, modern era",
1786,現實,xiànshí,5,reality,"actuality, real, actual, realistic, pragmatic, materialistic, self-interested",
1787,現象,xiànxiàng,5,appearance,"phenomenon, CL:個|个[ge4],種|种[zhong3]",
1788,限制,xiànzhì,5,to restrict,"to limit, to confine, restriction, limit, CL:個|个[ge4]",
1789,相當,xiāngdāng,5,equivalent to,"appropriate, considerably, to a certain extent, fairly, quite",
1790,相對,xiāngduì,5,relatively,"opposite, to resist, to oppose, relative, vis-a-vis, counterpart",
1791,相反,xiāngfǎn,5,opposite,contrary,
1792,相關,xiāngguān,5,related,"relevant, pertinent, to be interrelated, (statistics) correlation",
1793,相同,xiāngtóng,5,identical,same,
1794,箱子,xiāngzi,5,suitcase,"chest, box, case, trunk, CL:隻|只[zhi1],個|个[ge4]",
1795,香水,xiāngshuǐ,5,perfume,cologne,
1796,詳細,xiángxì,5,detailed,"in detail, minute",
1797,想到,xiǎngdào,5,to think of,"to call to mind, to anticipate",
1798,想法,xiǎngfǎ,5,way of thinking,"opinion, notion, to think of a way (to do sth), CL:個|个[ge4]",
1799,想像,xiǎngxiàng,5,to imagine,"to conceive of, to visualize, imagination",
1800,項,xiàng,5,back of neck,"item, thing, term (in a mathematical formula), sum (of money), classifier for principles, items, clauses, tasks, research projects etc, surname Xiang",Duplicate Pinyin
1801,相機,xiàngjī,5,at the opportune moment,"as the circumstances allow, camera (abbr. for 照相機|照相机[zhao4 xiang4 ji1])",
1802,相聲,xiàngshēng,5,comic dialogue,"sketch, crosstalk",
1803,小吃,xiǎochī,5,snack,"refreshments, CL:家[jia1]",
1804,小朋友,xiǎopéngyǒu,5,child,CL:個|个[ge4],
1805,小組,xiǎozǔ,5,group,,
1806,效果,xiàoguǒ,5,result,"effect, quality, CL:個|个[ge4]",
1807,笑話,xiàohuà,5,joke,"jest, to laugh at, to mock, CL:個|个[ge4]",
1808,孝順,xiàoshùn,5,filial piety,to be obedient to one's parents,
1809,協助,xiézhù,5,to provide assistance,to aid,
1810,心得,xīndé,5,"what one has learned (through experience, reading etc)","knowledge, insight, understanding, tips, CL:項|项[xiang4],個|个[ge4]",
1811,心理,xīnlǐ,5,mental,psychological,
1812,心意,xīnyì,5,regard,"kindly feelings, intention",
1813,欣賞,xīnshǎng,5,to appreciate,"to enjoy, to admire",
1814,新生,xīnshēng,5,new,"newborn, emerging, nascent, rebirth, regeneration, new life, new student",Duplicate Pinyin
1815,信箱,xìnxiāng,5,mailbox,post office box,
1816,信心,xìnxīn,5,confidence,"faith (in sb or sth), CL:個|个[ge4]",
1817,興奮,xīngfèn,5,excited,"excitement, (physiology) excitation",
1818,行動,xíngdòng,5,operation,"action, to move, mobile, CL:個|个[ge4]",
1819,行為,xíngwéi,5,action,"conduct, behavior, activity",
1820,形容,xíngróng,5,to describe,"description, appearance, look",
1821,醒,xǐng,5,to wake up,"to be awake, to become aware, to sober up, to come to",
1822,醒來,xǐnglái,5,to waken,,
1823,性別,xìngbié,5,gender,"sex, distinguishing between the sexes",
1824,性格,xìnggé,5,nature,"disposition, temperament, character, CL:個|个[ge4]",
1825,幸好,xìnghǎo,5,fortunately,,
1826,幸虧,xìngkuī,5,fortunately,luckily,
1827,幸運,xìngyùn,5,fortunate,"lucky, fortune, luck",
1828,兇,xiōng,5,terrible,"fearful, vicious, fierce, ominous, inauspicious, famine, variant of 兇|凶[xiong1]",
1829,兄弟,xiōngdì,5,brothers,"younger brother, I, me (humble term used by men in public speech), brotherly, fraternal, CL:個|个[ge4]",
1830,熊貓,xióngmāo,5,panda,CL:隻|只[zhi1],
1831,修,xiū,5,dried meat,"private teacher's remuneration, withered, variant of 修[xiu1]",
1832,修改,xiūgǎi,5,to amend,"to alter, to modify",
1833,修理,xiūlǐ,5,to repair,"to fix, to prune, to trim, (coll.) to sort sb out, to fix sb",
1834,需求,xūqiú,5,requirement,"to require, (economics) demand",
1835,選,xuǎn,5,to choose,"to pick, to select, to elect",
1836,選舉,xuǎnjǔ,5,to elect,"election, CL:次[ci4],個|个[ge4]",
1837,選擇,xuǎnzé,5,to select,"to pick, choice, option, alternative",
1838,學會,xuéhuì,5,to learn,"to master, institute, learned society, (scholarly) association",
1839,學問,xuéwèn,5,learning,"knowledge, CL:個|个[ge4]",
1840,尋找,xúnzhǎo,5,to seek,to look for,
1841,訓練,xùnliàn,5,to train,"to drill, training, CL:個|个[ge4]",
1842,呀,yā,5,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)",,Duplicate Pinyin
1843,鴨,yā,5,duck,"(slang) male prostitute, CL:隻|只[zhi1]",Duplicate Pinyin
1844,押金,yājīn,5,deposit,down payment,
1845,牙齒,yáchǐ,5,tooth,"dental, CL:顆|颗[ke1]",
1846,煙火,yānhuǒ,5,smoke and fire,fireworks,
1847,研究,yánjiù,5,research,"a study, CL:項|项[xiang4]",
1848,嚴重,yánzhòng,5,grave,"serious, severe, critical",
1849,演出,yǎnchū,5,to act (in a play),"to perform, to put on (a performance), performance, concert, show, CL:場|场[chang3],次[ci4]",
1850,演講,yǎnjiǎng,5,lecture,to make a speech,
1851,演員,yǎnyuán,5,actor or actress,"performer, CL:個|个[ge4],位[wei4],名[ming2]",
1852,眼光,yǎnguāng,5,gaze,"insight, foresight, vision, way of looking at things",
1853,眼淚,yǎnlèi,5,tears,"crying, CL:滴[di1]",
1854,陽光,yángguāng,5,sunshine,"transparent (open to public scrutiny), CL:線|线[xian4]",
1855,樣樣,yàngyàng,5,all kinds,,
1856,邀請,yāoqǐng,5,to invite,"invitation, CL:個|个[ge4]",
1857,要求,yāoqiú,5,to request,"to require, requirement, to stake a claim, to ask, to demand, CL:點|点[dian3]",
1858,咬,yǎo,5,variant of 咬[yao3],,
1859,要不然,yàobùrán,5,otherwise,"or else, or",
1860,要不是,yàobúshì,5,if it were not for,but for,
1861,要緊,yàojǐn,5,important,urgent,
1862,野餐,yěcān,5,picnic,to have a picnic,
1863,也好,yěhǎo,5,,,
1864,頁,yè,5,page,leaf,Duplicate Pinyin
1865,夜裡,yèli,5,during the night,"at night, nighttime",
1866,夜市,yèshì,5,night market,,
1867,一下子,yīxiàzi,5,in a short while,"all at once, all of a sudden",
1868,衣櫃,yīguì,5,wardrobe,"armoire, CL:個|个[ge4]",
1869,依靠,yīkào,5,to rely on sth (for support etc),to depend on,
1870,一塊,yīkuài,5,one block,"one piece, one (unit of money), together, in the same place, in company",
1871,一切,yīqiè,5,everything,"every, all",
1872,一向,yīxiàng,5,always (previously),a period of time in the recent past,
1873,以來,yǐlái,5,since (a previous event),,
1874,以免,yǐmiǎn,5,in order to avoid,so as not to,
1875,以內,yǐnèi,5,within,less than,
1876,以上,yǐshàng,5,that level or higher,"that amount or more, the above-mentioned",
1877,以外,yǐwài,5,apart from,"other than, except for, external, outside of, on the other side of, beyond",
1878,以為,yǐwéi,5,to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.),,
1879,以下,yǐxià,5,that level or lower,"that amount or less, the following",
1880,一般來說,yìbānláishuō,5,generally speaking,,
1881,一方面,yìfāngmiàn,5,on the one hand,,
1882,一連,yìlián,5,in a row,"in succession, running",
1883,一生,yìshēng,5,all one's life,throughout one's life,
1884,一時,yìshí,5,a period of time,"a while, for a short while, temporary, momentary, at the same time",
1885,一同,yìtóng,5,along,together,
1886,意見,yìjiàn,5,idea,"opinion, suggestion, objection, complaint, CL:點|点[dian3],條|条[tiao2]",
1887,意外,yìwài,5,unexpected,"accident, mishap, CL:個|个[ge4]",
1888,意義,yìyì,5,sense,"meaning, significance, importance, CL:個|个[ge4]",
1889,陰,yīn,5,overcast (weather),"cloudy, shady, Yin (the negative principle of Yin and Yang), negative (electric.), feminine, moon, implicit, hidden, genitalia, surname Yin",
1890,因此,yīncǐ,5,thus,"consequently, as a result",
1891,音響,yīnxiǎng,5,sound,"acoustics, audio, hi-fi system, stereo sound system, abbr. for 組合音響|组合音响[zu3 he2 yin1 xiang3]",
1892,引起,yǐnqǐ,5,to give rise to,"to lead to, to cause, to arouse",
1893,英俊,yīngjùn,5,handsome,,
1894,營養,yíngyǎng,5,nutrition,"nourishment, CL:種|种[zhong3]",
1895,影片,yǐngpiàn,5,film,"movie, CL:部[bu4]",
1896,擁有,yǒngyǒu,5,to have,to possess,
1897,用法,yòngfǎ,5,usage,,
1898,用功,yònggōng,5,diligent,"industrious (in one's studies), to study hard, to make great effort",
1899,用品,yòngpǐn,5,articles for use,"products, goods",
1900,優點,yōudiǎn,5,merit,"benefit, strong point, advantage, CL:個|个[ge4],項|项[xiang4]",
1901,優秀,yōuxiù,5,outstanding,excellent,
1902,幽默,yōumò,5,(loanword) humor,humorous,
1903,郵票,yóupiào,5,(postage) stamp,"CL:枚[mei2],張|张[zhang1]",
1904,尤其,yóuqí,5,especially,particularly,
1905,遊客,yóukè,5,traveler,"tourist, (online gaming) guest player",
1906,游泳池,yóuyǒngchí,5,swimming pool,CL:場|场[chang3],
1907,由於,yóuyú,5,due to,"as a result of, thanks to, owing to, since, because",
1908,有點兒,yǒudiǎnr,5,slightly,"a little, somewhat",
1909,有的,yǒude,5,(there are) some (who are...),some (exist),
1910,有名,yǒumíng,5,famous,well-known,
1911,有錢,yǒuqián,5,well-off,wealthy,
1912,有效,yǒuxiào,5,effective,"in effect, valid",
1913,有意思,yǒuyìsi,5,interesting,"meaningful, enjoyable, fun",
1914,友誼,yǒuyì,5,companionship,"fellowship, friendship",Duplicate Pinyin
1915,於是,yúshì,5,thereupon,"as a result, consequently, thus, hence",
1916,與,yǔ,5,and,"to give, together with, to take part in, variant of 歟|欤[yu2]",Duplicate Pinyin
1917,玉,yù,5,jade,,Duplicate Pinyin
1918,玉米,yùmi,5,corn,"maize, CL:粒[li4]",
1919,預備,yùbèi,5,to prepare,"to make ready, preparation, preparatory",
1920,預習,yùxí,5,to prepare a lesson,,
1921,遇到,yùdào,5,to meet,"to run into, to come across",
1922,員工,yuángōng,5,staff,"personnel, employee",
1923,原諒,yuánliàng,5,to excuse,"to forgive, to pardon",
1924,原因,yuányīn,5,cause,"origin, root cause, reason, CL:個|个[ge4]",
1925,願望,yuànwàng,5,desire,wish,
1926,院子,yuànzi,5,courtyard,"garden, yard, patio, (old) servant, CL:個|个[ge4]",
1927,約會,yuēhuì,5,appointment,"engagement, date, to arrange to meet, CL:次[ci4],個|个[ge4]",
1928,越,yuè,5,generic word for peoples or states of south China or south Asia at different historical periods,"to exceed, to climb over, to surpass, the more... the more, abbr. for Vietnam 越南",Duplicate Pinyin
1929,月餅,yuèbǐng,5,mooncake (esp. for the Mid-Autumn Festival),,
1930,閱讀,yuèdú,5,to read,reading,
1931,樂團,yuètuán,5,band,orchestra,
1932,運氣,yùnqì,5,luck (good or bad),,
1933,在意,zàiyì,5,to care about,to mind,
1934,在於,zàiyú,5,to be in,"to lie in, to consist in, to depend on, to rest with",
1935,早日,zǎorì,5,soon,"shortly, on a day quite soon, promptly",
1936,早晚,zǎowǎn,5,morning and evening,sooner or later,
1937,造成,zàochéng,5,to bring about,"to create, to cause",
1938,噪音,zàoyīn,5,rumble,"noise, static (in a signal)",
1939,責任,zérèn,5,responsibility,"blame, duty, CL:個|个[ge4]",
1940,增加,zēngjiā,5,to raise,to increase,
1941,炸,zhà,5,to deep fry,to explode,
1942,摘,zhāi,5,to take,"to borrow, to pick (flowers, fruit etc), to pluck, to select, to remove, to take off (glasses, hat etc)",
1943,暫時,zhànshí,5,temporary,"provisional, for the time being",
1944,戰爭,zhànzhēng,5,war,"conflict, CL:場|场[chang2],次[ci4]",
1945,長大,zhǎngdà,5,to grow up,,
1946,掌握,zhǎngwò,5,to grasp (often fig.),"to control, to seize (initiative, opportunity, destiny), to master, to know well, to understand sth well and know how to use it, fluency",
1947,障礙,zhàngài,5,barrier,"obstruction, hindrance, impediment, obstacle",
1948,招待,zhāodài,5,to receive (guests),"to entertain, reception",
1949,招牌,zhāopái,5,signboard,"shop sign, reputation of a business",
1950,找錢,zhǎoqián,5,to give change,,
1951,哲學,zhéxué,5,philosophy,CL:個|个[ge4],
1952,這裏,zhèlǐ,5,variant of 這裡|这里[zhe4 li3],,Duplicate Pinyin
1953,這下子,zhèxiàzi,5,this time,,
1954,這樣,zhèyàng,5,this kind of,"so, this way, like this, such",
1955,這樣子,zhèyàngzi,5,so,"such, this way, like this",
1956,真的,zhēnde,5,,,
1957,真理,zhēnlǐ,5,truth,CL:個|个[ge4],
1958,真實,zhēnshí,5,true,real,
1959,真是,zhēnshì,5,indeed,"truly, (coll.) (used to express disapproval, annoyance etc about sth)",
1960,真心,zhēnxīn,5,sincere,"heartfelt, CL:片[pian4]",
1961,真正,zhēnzhèng,5,genuine,"real, true, genuinely",
1962,珍貴,zhēnguì,5,precious,,
1963,整,zhěng,5,exactly,"in good order, whole, complete, entire, in order, orderly, to repair, to mend, to renovate, (coll.) to fix sb, to give sb a hard time, to mess with sb",
1964,整理,zhěnglǐ,5,to arrange,"to tidy up, to sort out, to straighten out, to list systematically, to collate (data, files), to pack (luggage)",
1965,整齊,zhěngqí,5,orderly,"neat, even, tidy",
1966,正常,zhèngcháng,5,regular,"normal, ordinary",
1967,正確,zhèngquè,5,correct,proper,
1968,正式,zhèngshì,5,formal,official,
1969,證明,zhèngmíng,5,proof,"certificate, identification, testimonial, to prove, to testify, to confirm the truth of, CL:個|个[ge4]",
1970,證書,zhèngshū,5,credentials,certificate,
1971,支,zhī,5,to support,"to sustain, to erect, to raise, branch, division, to draw money, classifier for rods such as pens and guns, for army divisions and for songs or compositions, surname Zhi",Duplicate Pinyin
1972,知識,zhīshì,5,knowledge,"intellectual, CL:門|门[men2]",
1973,之後,zhīhòu,5,afterwards,"following, later, after",
1974,之間,zhījiān,5,between,"among, inter-",
1975,之前,zhīqián,5,before,"prior to, ago, previously, beforehand",
1976,直到,zhídào,5,until,,
1977,值得,zhíde,5,to be worth,to deserve,
1978,殖民地,zhímíndì,5,colony,,
1979,植物,zhíwù,5,plant,"vegetation, CL:種|种[zhong3]",Duplicate Pinyin
1980,職員,zhíyuán,5,office worker,"staff member, CL:個|个[ge4],位[wei4]",
1981,只是,zhǐshì,5,merely,"simply, only, but",Duplicate Pinyin
1982,只要,zhǐyào,5,if only,so long as,
1983,只有,zhǐyǒu,5,,,
1984,制度,zhìdù,5,"system (e.g. political, adminstrative etc)","institution, CL:個|个[ge4]",
1985,智慧,zhìhuì,5,wisdom,"knowledge, intelligent, intelligence",
1986,至少,zhìshǎo,5,at least,(to say the) least,
1987,至於,zhìyú,5,as for,"as to, to go so far as to",
1988,中部,zhōngbù,5,middle part,central section,
1989,中餐,zhōngcān,5,Chinese meal,"Chinese food, CL:份[fen4],頓|顿[dun4]",
1990,終於,zhōngyú,5,at last,"in the end, finally, eventually",
1991,重點,zhòngdiǎn,5,to recount (e.g. results of election),"to re-evaluate, important point, main point, focus, key (project etc), to focus on, to put the emphasis on",
1992,重視,zhòngshì,5,to attach importance to sth,to value,
1993,周圍,zhōuwéi,5,surroundings,"environment, to encompass",
1994,主動,zhǔdòng,5,to take the initiative,"to do sth of one's own accord, spontaneous, active, opposite: passive 被動|被动[bei4 dong4], drive (of gears and shafts etc)",
1995,主婦,zhǔfù,5,housewife,"woman of senior authority in a household, the lady of the house, hostess",Duplicate Pinyin
1996,主管,zhǔguǎn,5,in charge,"responsible for, person in charge, manager",
1997,主人,zhǔrén,5,master,"host, owner, CL:個|个[ge4]",
1998,主任,zhǔrèn,5,director,"head, CL:個|个[ge4]",
1999,主題,zhǔtí,5,theme,subject,
2000,主要,zhǔyào,5,main,"principal, major, primary",
2001,主意,zhǔyì,5,plan,"idea, decision, Beijing pr. [zhu2 yi5], CL:個|个[ge4]",Duplicate Pinyin
2002,祝福,zhùfú,5,blessings,to wish sb well,
2003,助理,zhùlǐ,5,assistant,,
2004,著名,zhùmíng,5,famous,"noted, well-known, celebrated",
2005,抓,zhuā,5,to grab,"to catch, to arrest, to snatch, to scratch",
2006,專心,zhuānxīn,5,to concentrate,"absorption, concentration, engrossed",
2007,專業,zhuānyè,5,specialty,"specialized field, main field of study (at university), major, professional, CL:門|门[men2],個|个[ge4]",
2008,狀態,zhuàngtài,5,state of affairs,"state, mode, situation, CL:個|个[ge4]",
2009,追求,zhuīqiú,5,to pursue (a goal etc) stubbornly,"to seek after, to woo",
2010,準時,zhǔnshí,5,on time,"punctual, on schedule",
2011,資料,zīliào,5,material,"resources, data, information, profile (Internet), CL:份[fen4],個|个[ge4]",
2012,資源,zīyuán,5,natural resource (such as water or minerals),"resource (such as manpower or tourism), Ziyuan county in Guilin 桂林[Gui4 lin2], Guangxi",
2013,仔細,zǐxì,5,careful,"attentive, cautious",
2014,自從,zìcóng,5,since (a time),ever since,
2015,自動,zìdòng,5,automatic,voluntarily,
2016,自然,zìrán,5,nature,"natural, naturally",
2017,自殺,zìshā,5,to kill oneself,"to commit suicide, to attempt suicide",
2018,自信,zìxìn,5,to have confidence in oneself,self-confidence,
2019,自由,zìyóu,5,freedom,"free, liberty, CL:個|个[ge4]",
2020,自在,zìzài,5,free,"unrestrained, comfortable, at ease",
2021,宗教,zōngjiào,5,religion,,
2022,總而言之,zǒngéryánzhī,5,in short,"in a word, in brief",
2023,總算,zǒngsuàn,5,at long last,"finally, on the whole",
2024,總統,zǒngtǒng,5,president (of a country),"CL:個|个[ge4],位[wei4],名[ming2],屆|届[jie4]",
2025,總之,zǒngzhī,5,in a word,"in short, in brief",
2026,走走,zǒuzou,5,,,
2027,祖父,zǔfù,5,father's father,paternal grandfather,
2028,祖母,zǔmǔ,5,father's mother,paternal grandmother,
2029,祖先,zǔxiān,5,ancestor,forebears,
2030,醉,zuì,5,intoxicated,,Duplicate Pinyin
2031,最初,zuìchū,5,first,"primary, initial, original, at first, initially, originally",
2032,最多,zuìduō,5,at most,"maximum, greatest (amount), maximal",
2033,最好,zuìhǎo,5,best,(you) had better (do what we suggest),
2034,最佳,zuìjiā,5,optimum,"optimal, peak, best (athlete, movie etc)",
2035,尊敬,zūnjìng,5,to respect,to revere,
2036,作品,zuòpǐn,5,work (of art),"opus, CL:部[bu4],篇[pian1]",
2037,作者,zuòzhě,5,author,"writer, CL:個|个[ge4]",
2038,做夢,zuòmèng,5,to dream,"to have a dream, fig. illusion, fantasy, pipe dream",
2039,做人,zuòrén,5,to conduct oneself,to behave with integrity,
2040,做事,zuòshì,5,to work,"to handle matters, to have a job",
2041,哎呀,āiyā,6,"interjection of wonder, shock or admiration",,
2042,哎喲,āiyāo,6,hey,"ow, ouch, interjection of pain or surprise",
2043,愛好,àihào,6,to like,"to take pleasure in, keen on, fond of, interest, hobby, appetite for, CL:個|个[ge4]",
2044,愛護,àihù,6,to cherish,"to treasure, to take care of, to love and protect",
2045,愛人,àirén,6,spouse (PRC),"lover (non-PRC), CL:個|个[ge4]",
2046,安慰,ānwèi,6,to comfort,"to console, CL:個|个[ge4]",
